Sl.No,Name of Lab,State,Status,OSL Code,Recognition Valid Up To,Remarks
1,"AES Laboratories (P) Ltd, Noida",U.P.,Private,8117716,14.02.2027,
2,"Alpha Test House Private Limited, New Delhi",Delhi,Private,8131026,17.05.2027,Suspension revoked w.e.f. 17-11-2017. Suspended w.e.f. 22 May 2017. Suspension revoked w.e.f. 30-01-2017. (Present status operative) Suspended w.e.f. 16 Nov 2016. Suspension revoked w.e.f. 29 Feb 2016. (Present status operative) Suspended w.e.f. 21 Jan 2016.
3,"Anacon Laboratories Pvt Ltd, Nagpur",Maharashtra,Private,7124116,15.12.2026,Suspension revoked w.e.f. 23-08-2024 (Present status operative) Suspended w.e.f. 05- 04-2024. Suspension revoked w.e.f. 07-08-2020 (Present status operative) SUSPENDED W.E.F. 31-01-2020 Suspension revoked w.e.f. 05-11-2019. (Present status operative) Suspended for three months w.e.f. 25-09- 2019. Suspension revoked w.e.f. 09-04-2018. Suspension Cum Deferrment of Renewal of recognition w.e.f. 16- 12-2017 Suspension revoked w.e.f. 21 July 2015. (Present status operative) Suspended w.e.f. 6 July 2015.
4,"Arbro Pharmaceutical Private Ltd, New Delhi",Delhi,Private,8116816,14.01.2026,Suspension revoked w.e.f. 08-01-2025. (Present status operative) Suspended w.e.f. 06- 12-2024
5,"Ashwamedh Engineers & Consultants, Nasik",Maharashtra,Private,7130916,13.05.2027,
6,"Automotive Research Association of India (ARAI), Pune",Maharashtra,Govt.,7106935,11.01.2028,Suspension revoked w.e.f. 07-07-2023. (Present status operative) Suspended w.e.f. 31- 05-2023
7,"AVON food Lab, Delhi",Delhi,Private,8117816,19.02.2027,Suspension revoked w.e.f 14-12-2022. (Present status operative) Suspended w.e.f. 28- 03-2022 Suspension revoked w.e.f 17-01-2017. Suspended w.e.f. 27- 10-2016.
8,Atharva Laboratories. Noida,U.P.,Private,8134206,21.07.2028,Suspension revoked w.e.f. 09-03-2026. (Present status operative) SUSPENDED W.E.F. 19-12-2025 Suspension revoked w.e.f. 22-09-2023. (Present status operative) SUSPENDED W.E.F. 01-08-2023 Suspension revoked w.e.f. 01-02-2022. (Present status operative) SUSPENDED W.E.F. 28-12-2021
9,"Alpha Test House Services LLP, Mohali",Pubjab,Private,9138706,31-12-2026,Suspended w.e.f. 23.04.2026
10,"Aforeserve Labs Private Limited, Gurgaon",Haryana,Private,9140626,06.06.2027,Suspension revoked w.e.f. 08-12-2023. (Present status operative) Suspended w.e.f. 19.10.2023
11,"Accurate Test Solutions LLP, Noida",U.P.,Private,8141226,04.07.2027,
12,"Aadco Testing & Research Laboratory Pvt Ltd, Bulandshahar Road, Ghaziabad",U.P.,Private,8141606,26.07.2027,
13,"Ace Test House Private Limited, New Delhi",Delhi,Private,8161906,26.08.2027,
14,"ACE Test Labs & Metrology Private Limited, Rai, Sonipat",Haryana,Private,9162826,14.11.2027,
15,"ABC Techno Labs India Pvt Ltd, Chennai",Tamilnadu,Private,6164516,04.12.2028,
16,"Atharva Laboratories Pvt Ltd, Noida",U.P.,Private,8165026,23-02-2029,Suspension revoked w.e.f. 18-12-2024. Suspended w.e.f. 07.11.2024.
17,"AA Electro Magnetic Test Laboratory Pvt ltd, Gurgaon",Haryana,Private,8165826,24.09.2026,
18,"Ace Test Lab Private Limited, Delhi",Delhi,Private,8166826,07.01.2027,
19,"AGSS Analytical and Research Lab Pvt Ltd, Delhi",Delhi,Private,8166916,13.01.2027,
20,"Atmy Analytical Labs Pvt. Ltd, Faridabad",Haryana,Private,8167506,25.02.2027,Suspension revoked w.e.f. 26-09-2025. SUSPENDED W.E.F. 08-08-2025.
21,"Arihant Analytical Laboratory Pvt Ltd, Kundli, Sonepat",Haryana,Private,9167906,02.06.2027,
22,"Accurate Labs, Vijayawada",A.P.,Private,6168516,03.08.2027,
23,"AC Test Lab, Coterd Solotions (OPC) Pvt Limited, Greater Noida",U.P.,Private,8170806,15.07.2028,
